category,path,line,source
timer_or_ui_cadence,applications/external/ble_spam/ble_spam.c,676,"view_dispatcher_set_tick_event_callback(state->ctx.view_dispatcher, tick_event_callback, 100);"
blocking_notification,applications/external/ble_spam/scenes/config.c,34,"notification_message_block(ctx->notification, &sequence_display_backlight_off);"
unbounded_wait,applications/external/bomberduck/bomberduck.c,274,"furi_mutex_acquire(bomber_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/bomberduck/bomberduck.c,364,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
blocking_notification,applications/external/bomberduck/bomberduck.c,399,"notification_message_block(notification, &sequence_display_backlight_enforce_on);"
unbounded_wait,applications/external/bomberduck/bomberduck.c,406,"furi_mutex_acquire(bomber_state->mutex, FuriWaitForever);"
blocking_notification,applications/external/bomberduck/bomberduck.c,633,"notification_message_block(notification, &sequence_display_backlight_enforce_auto);"
unbounded_wait,applications/external/bpmtapper/bpm.c,130,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/external/bpmtapper/bpm.c,136,"furi_mutex_acquire(bpm_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/bpmtapper/bpm.c,215,"furi_mutex_acquire(bpm_state->mutex, FuriWaitForever);"
explicit_delay,applications/external/bt_trigger/bt_trigger.c,11,furi_delay_ms(200);
unbounded_wait,applications/external/bt_trigger/bt_trigger.c,43,"furi_check(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk);"
timer_or_ui_cadence,applications/external/bt_trigger/bt_trigger.c,67,"furi_timer_start(timer, app->delay * 1000);"
explicit_delay,applications/external/bt_trigger/bt_trigger.c,126,furi_delay_ms(200);
unbounded_wait,applications/external/bt_trigger/bt_trigger.c,200,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/external/caesarcipher/caesar_cipher.c,64,"furi_mutex_acquire(caesar_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/caesarcipher/caesar_cipher.c,79,"furi_mutex_acquire(caesar_state->mutex, FuriWaitForever);"
